Wlot,Relacja,Godz,b.moto,c.osobowe,c3.mikrobusy,d.dostawcze,e.ciężarowe,f.ciężarowe z naczepą,g.autobusy,h.rolne,rowery,hulajnogi,pieszy,pieszy potrzeby
PN,Wprost,8,1,152,2,22,2,0,2,0,5,0,2,0
PN,Wprost,9,0,131,0,13,6,1,6,1,16,0,2,0
PN,Wprost,10,0,124,0,16,5,2,3,0,2,0,1,0
PN,Wprost,11,1,134,0,17,9,1,3,0,0,0,0,0
PN,Wprost,12,4,127,1,16,4,0,2,0,0,0,0,0
PN,Wprost,13,3,154,0,12,5,2,5,0,0,0,0,0
PN,Wprost,14,1,151,0,12,6,1,3,0,0,0,0,0
PN,Wprost,15,6,155,0,10,1,1,3,0,0,0,0,0
PN,Wprost,16,3,130,0,6,2,0,4,0,0,0,0,0
PN,Wprost,17,3,138,4,8,0,0,4,0,0,0,0,0
PN,Wprost,18,4,146,1,3,1,0,1,0,0,0,0,0
PN,Wprost,19,1,151,0,3,1,0,3,0,0,0,0,0
PN,Wprost,20,1,119,0,8,1,0,2,0,0,0,0,0
PN,Wprost,21,0,71,0,6,0,0,3,0,0,0,0,0
PN,Wprost,22,0,79,2,1,1,0,3,0,0,0,0,0
PN,Wprost,23,0,29,1,2,0,0,0,0,0,0,0,0
PN,Prawo,0,0,0,0,0,0,0,0,0,0,0,0,0
PN,Prawo,1,0,2,0,0,0,0,0,0,0,0,0,0
PN,Prawo,2,0,1,0,0,0,0,0,0,0,0,0,0
PN,Prawo,3,0,2,0,0,0,0,0,0,0,0,0,0
PN,Prawo,4,0,3,0,1,0,0,0,0,0,0,0,0
PN,Prawo,5,0,10,0,5,0,0,0,0,1,0,0,0
PN,Prawo,6,0,67,0,1,0,0,0,0,3,0,2,0
PN,Prawo,7,0,54,0,6,1,0,0,0,0,0,0,0
PN,Prawo,8,0,50,0,4,1,1,0,3,2,0,1,0
PN,Prawo,9,0,41,0,5,4,1,0,1,1,0,2,1
PN,Prawo,10,0,58,0,2,1,0,0,0,1,0,2,0
PN,Prawo,11,0,49,0,4,1,0,0,0,2,0,1,0
PN,Prawo,12,0,51,0,3,1,0,0,0,2,0,0,0
PN,Prawo,13,0,66,0,4,0,0,0,0,3,1,3,0
PN,Prawo,14,0,78,1,1,0,0,0,0,5,1,3,0
PN,Prawo,15,0,61,0,0,0,0,0,0,5,1,1,0
PN,Prawo,16,0,82,0,2,0,0,0,0,9,0,0,0
PN,Prawo,17,1,66,0,2,0,0,1,0,8,1,2,1
PN,Prawo,18,0,79,0,4,0,0,0,0,5,0,1,0
PN,Prawo,19,0,57,0,3,0,0,0,0,2,0,1,0
PN,Prawo,20,0,48,0,1,0,0,0,0,3,0,5,0
PN,Prawo,21,0,34,0,0,0,0,0,0,0,0,1,0
PN,Prawo,22,0,14,1,0,0,0,0,0,0,0,2,0
PN,Prawo,23,0,8,0,0,0,0,0,0,0,0,0,0
